Book_Title,Author,Average Rating,Total Rating,Total Score,People Voted
The Stand,Stephen King,4.34,717556,"2,376",30
"The Last Lumenian (The Last Lumenian, #1)",S.G. Blaise,4.27,4231,"2,371",26
"Feed (Newsflesh, #1)",Mira Grant,3.85,56716,"2,364",25
Calico Jack in your Garden,Karl Wiggins,4.2,202,"2,353",24
Hotel on the Corner of Bitter and Sweet,Jamie Ford,4.03,288688,"2,352",27
"Betrayal of Faith (Zachary Blake Legal Thriller, #1)",Mark M. Bello,4.33,3540,"2,352",26
The Alchemist,Paulo Coelho,3.9,2759653,"2,331",29
"Eon: Dragoneye Reborn (Eon, #1)",Alison Goodman,3.96,60239,"2,330",26
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.23,503631,"2,330",27
"The Giver (The Giver, #1)",Lois Lowry,4.13,2262912,"2,322",28
"Shadow of Night (All Souls, #2)",Deborah Harkness,4.07,225011,"2,296",26
"Original Sin (Personal Demons, #2)",Lisa Desrochers,3.87,3604,"2,291",25
A Castle of Doomsday,Michael G. Kramer,4.26,3428,"2,273",25
"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.93,3058365,"2,235",28
Lord of the Flies,William Golding,3.69,2716815,"2,223",28
The Thousand Autumns of Jacob de Zoet,David Mitchell,4.02,62001,"2,223",26
"Vision to Reality: Stop Working, Start Living",Curtis L. Jenkins,4.31,5560,"2,221",25
"Firestarters: How Innovators, Instigators, and Initiators Can Inspire You to Ignite Your Own Life",Raoul Davis Jr.,4.29,4665,"2,220",25
"God is the Cure, Love is the Answer: A Memoir",Aimee Cabo Nikolov,4.29,4433,"2,219",23
"The Hangman's Daughter (The Hangman's Daughter, #1)",Oliver Pötzsch,3.74,76550,"2,214",24
The Scare,Robert   Shaw,3.79,70,"2,200",22
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.08,256332,"2,192",26
On the Road,Jack Kerouac,3.62,390028,"2,190",27
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,4.23,708828,"2,188",25
Fierce Love: Creating a Love that Lasts—One Conversation at a Time,Susan Scott,4.32,7143,"2,187",23
Different Seasons,Stephen King,4.35,195710,"2,182",26
The Wasp Factory,Iain Banks,3.79,90310,"2,179",25
Westwind Secrets,Marilyn Dalla Valle,4.29,3457,"2,175",24
"Paranormalcy (Paranormalcy, #1)",Kiersten White,3.88,97657,"2,149",26
"The Girl in the Steel Corset (Steampunk Chronicles, #1)",Kady Cross,3.8,21405,"2,140",24
"Bumped (Bumped, #1)",Megan McCafferty,3.12,13066,"2,139",24
"Body In The Woods (Jack Ludefance, #2)",Behcet Kaya,4.32,5921,"2,098",23
